Timestamp,PRD,Phase,Iteration,Agent,Model,Input Tokens,Output Tokens,Cost (USD),Purpose
2026-01-06 22:30:39,PRD-15-billing-subscriptions,normalize,1,cursor-agent,gemini-3-flash,975,514,0.000303,normalizing_prd
2026-01-06 22:30:52,architecture,normalize,1,cursor-agent,gemini-3-flash,1066,500,0.000307,normalizing_prd
2026-01-06 22:31:26,PRD-19-deployment-cicd,normalize,1,cursor-agent,gemini-3-flash,931,580,0.000325,normalizing_prd
2026-01-06 22:31:56,PRD-13-rights-management,normalize,1,cursor-agent,gemini-3-flash,943,626,0.000345,normalizing_prd
2026-01-06 22:32:26,PRD-12-export-delivery,normalize,1,cursor-agent,gemini-3-flash,1323,604,0.000374,normalizing_prd
2026-01-06 22:32:45,project_overview,normalize,1,cursor-agent,gemini-3-flash,1629,878,0.000514,normalizing_prd
2026-01-06 22:33:12,PRD-22-desktop-companion,normalize,1,cursor-agent,gemini-3-flash,1297,736,0.000424,normalizing_prd
2026-01-06 22:33:31,PRD-04-storage-management,normalize,1,cursor-agent,gemini-3-flash,1214,617,0.000368,normalizing_prd
2026-01-06 22:33:57,PRD-18-observability-security,normalize,1,cursor-agent,gemini-3-flash,1217,671,0.000390,normalizing_prd
2026-01-06 22:34:17,PRD-03-media-ingest,normalize,1,cursor-agent,gemini-3-flash,993,572,0.000328,normalizing_prd
2026-01-06 22:34:40,PRD-06-timecode-modeling,normalize,1,cursor-agent,gemini-3-flash,943,613,0.000340,normalizing_prd
2026-01-06 22:35:07,PRD-10-player-timeline,normalize,1,cursor-agent,gemini-3-flash,986,449,0.000278,normalizing_prd
2026-01-06 22:35:41,PRD-17-backoffice-admin,normalize,1,cursor-agent,gemini-3-flash,985,569,0.000326,normalizing_prd
2026-01-06 22:36:08,PRD-24-ai-benchmarking,normalize,1,cursor-agent,gemini-3-flash,1165,480,0.000309,normalizing_prd
2026-01-06 22:36:32,PRD-05-proxy-generation,normalize,1,cursor-agent,gemini-3-flash,986,414,0.000264,normalizing_prd
2026-01-06 22:36:45,PRD-16-marketplace-finances,normalize,1,cursor-agent,gemini-3-flash,957,482,0.000289,normalizing_prd
2026-01-06 22:37:12,PRD-01-foundation,normalize,1,cursor-agent,gemini-3-flash,1243,890,0.000480,normalizing_prd
2026-01-06 22:37:33,infrastructure,normalize,1,cursor-agent,gemini-3-flash,860,568,0.000313,normalizing_prd
2026-01-06 22:37:57,PRD-20-archive-rescue,normalize,1,cursor-agent,gemini-3-flash,980,492,0.000295,normalizing_prd
2026-01-06 22:38:21,PRD-21-qa-automation,normalize,1,cursor-agent,gemini-3-flash,959,457,0.000279,normalizing_prd
2026-01-06 22:38:39,PRD-14-marketplace,normalize,1,cursor-agent,gemini-3-flash,1061,611,0.000351,normalizing_prd
